queue_size, nb_events_sent, nb_bytes_sent 
0,0,0
50000,0,0
97756,2244,62832
141670,8330,233240
185822,14178,396984
229804,20196,565488
273684,26316,736848
317632,32368,906304
361512,38488,1077664
405290,44710,1251880
449136,50864,1424192
493288,56712,1587936
537270,62730,1756440
581218,68782,1925896
625030,74970,2099160
669012,80988,2267664
712960,87040,2437120
757078,92922,2601816
800890,99110,2775080
844804,105196,2945488
888616,111384,3118752
932530,117470,3289160
976512,123488,3457664
1020256,129744,3632832
1064306,135694,3799432
1108288,141712,3967936
1152236,147764,4137392
1196218,153782,4305896
1240370,159630,4469640
1284318,165682,4639096
1328028,171972,4815216
1371874,178126,4987528
1415856,184144,5156032
1459668,190332,5329296
1503820,196180,5493040
1547802,202198,5661544
1591818,208182,5829096
1636548,213452,5976656
1680666,219334,6141352
1724716,225284,6307952
1768698,231302,6476456
1812578,237422,6647816
1856628,243372,6814416
1900440,249560,6987680
1944286,255714,7159992
1988200,261800,7330400
2032182,267818,7498904
2076164,273836,7667408
2119942,280058,7841624
2163788,286212,8013936
2207838,292162,8180536
2251956,298044,8345232
2295938,304062,8513736
2340294,309706,8671768
2384344,315656,8838368
2428666,321334,8997352
2472614,327386,9166808
2516562,333438,9336264
2560476,339524,9506672
2604322,345678,9678984
