queue_size, nb_events_sent, nb_bytes_sent 
0,0,0
50,0,0
100,0,0
150,0,0
0,200,5600
50,200,5600
100,200,5600
150,200,5600
0,400,11200
50,400,11200
100,400,11200
150,400,11200
200,400,11200
0,650,18200
50,650,18200
100,650,18200
150,650,18200
0,850,23800
50,850,23800
100,850,23800
150,850,23800
0,1050,29400
50,1050,29400
100,1050,29400
150,1050,29400
200,1050,29400
0,1300,36400
50,1300,36400
100,1300,36400
150,1300,36400
0,1500,42000
50,1500,42000
100,1500,42000
150,1500,42000
0,1700,47600
50,1700,47600
100,1700,47600
150,1700,47600
200,1700,47600
0,1950,54600
50,1950,54600
100,1950,54600
150,1950,54600
0,2150,60200
50,2150,60200
100,2150,60200
150,2150,60200
64,2286,64008
0,2400,67200
50,2400,67200
100,2400,67200
150,2400,67200
0,2600,72800
50,2600,72800
100,2600,72800
150,2600,72800
0,2800,78400
50,2800,78400
100,2800,78400
150,2800,78400
