queue_size, nb_events_sent, nb_bytes_sent 
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
80000,0,0
76189,3811,106708
25055,54945,1538460
10921,69079,1934212
0,80000,2240000
0,80000,2240000
0,80000,2240000
0,80000,2240000
0,80000,2240000
0,80000,2240000
80000,80000,2240000
75301,84699,2371572
52139,107861,3020108
25832,134168,3756704
13881,146119,4091332
0,160000,4480000
0,160000,4480000
0,160000,4480000
0,160000,4480000
0,160000,4480000
80000,160000,4480000
75412,164588,4608464
38634,201366,5638248
17877,222123,6219444
0,240000,6720000
0,240000,6720000
0,240000,6720000
0,240000,6720000
0,240000,6720000
0,240000,6720000
80000,240000,6720000
53138,266862,7472136
28977,291023,8148644
7480,312520,8750560
0,320000,8960000
0,320000,8960000
0,320000,8960000
0,320000,8960000
0,320000,8960000
0,320000,8960000
80000,320000,8960000
55950,344050,9633400
35267,364733,10212524
19394,380606,10656968
3151,396849,11111772
0,400000,11200000
0,400000,11200000
0,400000,11200000
0,400000,11200000
0,400000,11200000
80000,400000,11200000
63424,416576,11664128
24241,455759,12761252
0,480000,13440000
0,480000,13440000
0,480000,13440000
0,480000,13440000
0,480000,13440000
0,480000,13440000
0,480000,13440000
80000,480000,13440000
41890,518110,14507080
0,560000,15680000
0,560000,15680000
0,560000,15680000
0,560000,15680000
0,560000,15680000
0,560000,15680000
0,560000,15680000
0,560000,15680000
80000,560000,15680000
55617,584383,16362724
39670,600330,16809240
23871,616129,17251612
6666,633334,17733352
0,640000,17920000
0,640000,17920000
0,640000,17920000
0,640000,17920000
0,640000,17920000
80000,640000,17920000
51880,668120,18707360
36303,683697,19143516
25610,694390,19442920
0,720000,20160000
0,720000,20160000
0,720000,20160000
0,720000,20160000
0,720000,20160000
0,720000,20160000
