queue_size, nb_events_sent, nb_bytes_sent 
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
80000,0,0
79852,148,4144
73192,6808,190624
65163,14837,415436
58947,21053,589484
54211,25789,722092
41557,38443,1076404
36932,43068,1205904
29569,50431,1412068
18950,61050,1709400
87665,72335,2025380
81634,78366,2194248
69091,90909,2545452
58176,101824,2851072
50998,109002,3052056
42266,117734,3296552
33127,126873,3552444
24765,135235,3786580
18549,141451,3960628
8781,151219,4234132
77200,162800,4558400
70466,169534,4746952
63806,176194,4933432
60735,179265,5019420
54001,185999,5207972
49857,190143,5324004
39719,200281,5607868
35982,204018,5712504
31135,208865,5848220
20331,219669,6150732
95891,224109,6275052
90785,229215,6418020
86974,233026,6524728
80573,239427,6703956
73247,246753,6909084
65699,254301,7120428
55709,264291,7400148
48901,271099,7590772
41316,278684,7803152
30993,289007,8092196
96674,303326,8493128
90717,309283,8659924
87128,312872,8760416
73364,326636,9145808
68961,331039,9269092
65668,334332,9361296
54420,345580,9676240
49055,350945,9826460
41063,358937,10050236
38769,361231,10114468
114255,365745,10240860
107558,372442,10428376
94904,385096,10782688
88170,391830,10971240
76478,403522,11298616
71890,408110,11427080
64527,415473,11633244
54685,425315,11908820
44806,435194,12185432
40255,439745,12312860
109599,450401,12611228
106565,453435,12696180
97130,462870,12960360
92209,467791,13098148
80147,479853,13435884
64459,495541,13875148
58354,501646,14046088
52138,507862,14220136
43480,516520,14462560
36376,523624,14661472
111714,528286,14792008
105498,534502,14966056
96322,543678,15222984
84371,555629,15557612
75602,564398,15803144
69312,570688,15979264
59359,580641,16257948
50516,589484,16505552
37270,602730,16876440
26096,613904,17189312
96809,623191,17449348
91629,628371,17594388
86449,633551,17739428
75978,644022,18032616
64212,655788,18362064
57441,662559,18551652
50522,669478,18745384
41827,678173,18988844
26805,693195,19409460
8601,711399,19919172
