queue_size, nb_events_sent, nb_bytes_sent 
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
15000,0,0
10893,4107,114996
9302,5698,159544
7452,7548,211344
1051,13949,390572
0,15000,420000
0,15000,420000
0,15000,420000
0,15000,420000
0,15000,420000
15000,15000,420000
12336,17664,494592
7896,22104,618912
6453,23547,659316
2383,27617,773276
0,30000,840000
0,30000,840000
0,30000,840000
0,30000,840000
0,30000,840000
15000,30000,840000
12965,32035,896980
10560,34440,964320
6231,38769,1085532
4418,40582,1136296
755,44245,1238860
0,45000,1260000
0,45000,1260000
0,45000,1260000
0,45000,1260000
15000,45000,1260000
12225,47775,1337700
8895,51105,1430940
5454,54546,1527288
940,59060,1653680
0,60000,1680000
0,60000,1680000
0,60000,1680000
0,60000,1680000
0,60000,1680000
15000,60000,1680000
13890,61110,1711080
8229,66771,1869588
4418,70582,1976296
0,75000,2100000
0,75000,2100000
0,75000,2100000
0,75000,2100000
0,75000,2100000
0,75000,2100000
15000,75000,2100000
11522,78478,2197384
5047,84953,2378684
0,90000,2520000
0,90000,2520000
0,90000,2520000
0,90000,2520000
0,90000,2520000
0,90000,2520000
0,90000,2520000
15000,90000,2520000
11263,93737,2624636
5158,99842,2795576
3049,101951,2854628
0,105000,2940000
0,105000,2940000
0,105000,2940000
0,105000,2940000
0,105000,2940000
0,105000,2940000
15000,105000,2940000
11855,108145,3028060
6305,113695,3183460
2827,117173,3280844
0,120000,3360000
0,120000,3360000
0,120000,3360000
0,120000,3360000
0,120000,3360000
0,120000,3360000
15000,120000,3360000
11596,123404,3455312
8673,126327,3537156
3678,131322,3677016
0,135000,3780000
0,135000,3780000
0,135000,3780000
0,135000,3780000
0,135000,3780000
0,135000,3780000
