queue_size, nb_events_sent, nb_bytes_sent 
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
20000,37,1036
20000,37,1036
20000,37,1036
19482,555,15540
19223,814,22792
18816,1221,34188
18668,1369,38332
16929,3108,87024
16929,3108,87024
16818,3219,90132
36115,3922,109816
35597,4440,124320
34894,5143,144004
34635,5402,151256
34598,5439,152292
33229,6808,190624
32711,7326,205128
32711,7326,205128
32711,7326,205128
32267,7770,217560
51971,8066,225848
51712,8325,233100
51564,8473,237244
51490,8547,239316
51268,8769,245532
50750,9287,260036
50676,9361,262108
50602,9435,264180
49899,10138,283864
49862,10175,284900
69492,10545,295260
69455,10582,296296
68937,11100,310800
68752,11285,315980
67679,12358,346024
67346,12691,355348
66495,13542,379176
66347,13690,383320
65681,14356,401968
65459,14578,408184
85311,14726,412328
85126,14911,417508
84312,15725,440300
84312,15725,440300
83868,16169,452732
82832,17205,481740
82647,17390,486920
82129,17908,501424
81833,18204,509712
81537,18500,518000
99946,20091,562548
99650,20387,570836
99058,20979,587412
98466,21571,603988
97911,22126,619528
97134,22903,641284
95469,24568,687904
94655,25382,710696
94655,25382,710696
94322,25715,720020
113397,26640,745920
111843,28194,789432
111806,28231,790468
110659,29378,822584
110585,29452,824656
108550,31487,881636
107588,32449,908572
107181,32856,919968
106515,33522,938616
106256,33781,945868
126145,33892,948976
125442,34595,968660
125294,34743,972804
124147,35890,1004920
123555,36482,1021496
122889,37148,1040144
122889,37148,1040144
122556,37481,1049468
122519,37518,1050504
122075,37962,1062936
140632,39405,1103340
140632,39405,1103340
140632,39405,1103340
140410,39627,1109556
139633,40404,1131312
139448,40589,1136492
139152,40885,1144780
138856,41181,1153068
138190,41847,1171716
138079,41958,1174824
157339,42698,1195544
157302,42735,1196580
154860,45177,1264956
154453,45584,1276352
154268,45769,1281532
154231,45806,1282568
154120,45917,1285676
153898,46139,1291892
152603,47434,1328152
152418,47619,1333332
172418,47619,1333332
172307,47730,1336440
172233,47804,1338512
170124,49913,1397564
169717,50320,1408960
169680,50357,1409996
169236,50801,1422428
168422,51615,1445220
167793,52244,1462832
167127,52910,1481480
184796,55241,1546748
184056,55981,1567468
183501,56536,1583008
183131,56906,1593368
183094,56943,1594404
182058,57979,1623412
179394,60643,1698004
179357,60680,1699040
179135,60902,1705256
178469,61568,1723904
197544,62493,1749804
197433,62604,1752912
197433,62604,1752912
197137,62900,1761200
196360,63677,1782956
195102,64935,1818180
194140,65897,1845116
193844,66193,1853404
192845,67192,1881376
191661,68376,1914528
210736,69301,1940428
210551,69486,1945608
210514,69523,1946644
210292,69745,1952860
209885,70152,1964256
208849,71188,1993264
208516,71521,2002588
207998,72039,2017092
207961,72076,2018128
207443,72594,2032632
