queue_size, nb_events_sent, nb_bytes_sent 
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
20000,37,1036
20000,37,1036
19556,481,13468
18557,1480,41440
16818,3219,90132
16818,3219,90132
15523,4514,126392
12304,7733,216524
11675,8362,234136
10676,9361,262108
26828,13172,368816
26384,13653,382284
25533,14504,406112
23202,16835,471380
23054,16983,475524
19317,20720,580160
15691,24346,681688
11954,28083,786324
11732,28305,792540
8476,31561,883708
25368,34669,970732
25035,34965,979020
23333,36704,1027712
21594,38406,1075368
20817,39220,1098160
18486,41551,1163428
18190,41847,1171716
17968,42032,1176896
17413,42624,1193472
14897,45140,1263920
32455,47582,1332296
32011,48026,1344728
28311,51726,1448328
26387,53650,1502200
24722,55315,1548820
21318,58719,1644132
21096,58941,1650348
17692,62308,1744624
14325,65712,1839936
13030,67007,1876196
30477,69560,1947680
29885,70152,1964256
26703,73297,2052316
25223,74814,2094792
24890,75147,2104116
23780,76257,2135196
23743,76257,2135196
21523,78514,2198392
20857,79143,2216004
17823,82214,2301992
34456,85581,2396268
31089,88911,2489508
27796,92241,2582748
27204,92833,2599324
27204,92833,2599324
27093,92944,2602432
25539,94498,2645944
25169,94868,2656304
24392,95645,2678060
24207,95830,2683240
40877,99160,2776480
40433,99567,2787876
36622,103415,2895620
32737,107263,3003364
30295,109742,3072776
29000,111000,3108000
27150,112887,3160836
26484,113553,3179484
25633,114404,3203312
25152,114885,3216780
43635,116402,3259256
42007,118030,3304840
39269,120768,3381504
39084,120953,3386684
35828,124209,3477852
32424,127576,3572128
31166,128871,3608388
28835,131165,3672620
25838,134199,3757572
25061,134939,3778292
42212,137825,3859100
41324,138676,3882928
39141,140896,3945088
37476,142561,3991708
35811,144226,4038328
34923,145114,4063192
33665,146372,4098416
29817,150183,4205124
26006,154031,4312868
25895,154142,4315976
44267,155770,4361560
42676,157324,4405072
39642,160395,4491060
39309,160691,4499348
38088,161949,4534572
36830,163207,4569796
35646,164391,4602948
35572,164465,4605020
32168,167832,4699296
28653,171347,4797716
47025,173012,4844336
45508,174529,4886812
44990,175010,4900280
44324,175713,4919964
42104,177933,4982124
41327,178673,5002844
37590,182410,5107480
33779,186258,5215224
29931,190069,5321932
29117,190920,5345760
45380,194620,5449360
45306,194731,5452468
43678,196359,5498052
41495,198505,5558140
40385,199652,5590256
39275,200762,5621336
38091,201946,5654488
37499,202538,5671064
37018,203019,5684532
33688,206312,5776736
52985,207052,5797456
52763,207274,5803672
50173,209827,5875156
46732,213305,5972540
43254,216746,6068888
40479,219558,6147624
39665,220335,6169380
36261,223739,6264692
35632,224405,6283340
34004,226033,6328924
51525,228512,6398336
50748,229289,6420092
49638,230399,6451172
47344,232693,6515404
45457,234580,6568240
43940,236097,6610716
43718,236282,6615896
40277,239723,6712244
36873,243127,6807556
33358,246679,6907012
