queue_size, nb_events_sent, nb_bytes_sent 
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
2000,0,0
2000,37,1036
2000,37,1036
2000,37,1036
557,1480,41440
0,2000,56000
0,2000,56000
0,2000,56000
0,2000,56000
0,2000,56000
2000,2000,56000
2000,2000,56000
2000,2000,56000
2000,2000,56000
2000,2000,56000
890,3147,88116
853,3184,89152
853,3184,89152
0,4000,112000
0,4000,112000
2000,4000,112000
2000,4000,112000
2000,4000,112000
2000,4000,112000
2000,4000,112000
2000,4000,112000
2000,4000,112000
2000,4000,112000
0,6000,168000
0,6000,168000
2000,6000,168000
2000,6000,168000
2000,6000,168000
2000,6000,168000
2000,6000,168000
2000,6000,168000
2000,6000,168000
2000,6000,168000
927,7110,199080
409,7628,213584
781,9256,259168
781,9256,259168
0,10000,280000
0,10000,280000
0,10000,280000
0,10000,280000
0,10000,280000
0,10000,280000
0,10000,280000
0,10000,280000
2000,10000,280000
2000,10000,280000
2000,10000,280000
0,12000,336000
0,12000,336000
0,12000,336000
0,12000,336000
0,12000,336000
0,12000,336000
0,12000,336000
2000,12000,336000
2000,12000,336000
2000,12000,336000
2000,12000,336000
594,13443,376404
557,13480,377440
0,14000,392000
0,14000,392000
0,14000,392000
0,14000,392000
2000,14000,392000
2000,14000,392000
2000,14000,392000
2000,14000,392000
2000,14000,392000
1926,14111,395108
1741,14296,400288
0,16000,448000
0,16000,448000
0,16000,448000
2000,16000,448000
2000,16000,448000
2000,16000,448000
2000,16000,448000
2000,16000,448000
2000,16000,448000
2000,16000,448000
1445,16592,464576
0,18000,504000
0,18000,504000
2000,18000,504000
2000,18000,504000
2000,18000,504000
2000,18000,504000
2000,18000,504000
2000,18000,504000
2000,18000,504000
2000,18000,504000
1556,18481,517468
0,20000,560000
2000,20000,560000
2000,20000,560000
2000,20000,560000
2000,20000,560000
2000,20000,560000
2000,20000,560000
2000,20000,560000
2000,20000,560000
2000,20000,560000
2000,20000,560000
1114,22923,641844
0,24000,672000
0,24000,672000
0,24000,672000
0,24000,672000
0,24000,672000
0,24000,672000
0,24000,672000
0,24000,672000
0,24000,672000
2000,24000,672000
705,25332,709296
0,26000,728000
0,26000,728000
0,26000,728000
0,26000,728000
0,26000,728000
0,26000,728000
0,26000,728000
0,26000,728000
2000,26000,728000
2000,26000,728000
113,27924,781872
0,28000,784000
0,28000,784000
0,28000,784000
0,28000,784000
0,28000,784000
0,28000,784000
0,28000,784000
