queue_size, nb_events_sent, nb_bytes_sent 
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
2000,0,0
2000,37,1036
2000,37,1036
2000,37,1036
1889,148,4144
1482,555,15540
816,1221,34188
668,1369,38332
0,2000,56000
0,2000,56000
2000,2000,56000
2000,2000,56000
2000,2000,56000
2000,2000,56000
2000,2000,56000
2000,2000,56000
2000,2000,56000
2000,2000,56000
2000,2000,56000
964,3073,86044
2964,3073,86044
2853,3184,89152
2150,3887,108836
1632,4405,123340
1299,4738,132664
929,5108,143024
670,5367,150276
633,5404,151312
0,6000,168000
0,6000,168000
2000,6000,168000
2000,6000,168000
2000,6000,168000
2000,6000,168000
2000,6000,168000
2000,6000,168000
2000,6000,168000
2000,6000,168000
1297,6740,188720
779,7258,203224
2779,7258,203224
2335,7702,215656
2039,7998,223944
1854,8183,229124
1780,8257,231196
1632,8405,235340
1558,8479,237412
1336,8701,243628
818,9219,258132
744,9293,260204
2670,9367,262276
1967,10070,281960
1930,10107,282996
1560,10477,293356
1523,10514,294392
1005,11032,308896
820,11217,314076
265,11772,329616
0,12000,336000
0,12000,336000
2000,12000,336000
2000,12000,336000
2000,12000,336000
2000,12000,336000
2000,12000,336000
2000,12000,336000
2000,12000,336000
1778,12259,343252
1445,12592,352576
1149,12888,360864
2594,13443,376404
1780,14257,399196
1558,14479,405412
1410,14627,409556
1225,14812,414736
411,15626,437528
411,15626,437528
0,16000,448000
0,16000,448000
0,16000,448000
2000,16000,448000
2000,16000,448000
2000,16000,448000
2000,16000,448000
2000,16000,448000
2000,16000,448000
2000,16000,448000
2000,16037,449036
964,17073,478044
779,17258,483224
2261,17776,497728
1669,18368,514304
1669,18368,514304
78,19959,558852
0,20000,560000
0,20000,560000
0,20000,560000
0,20000,560000
0,20000,560000
0,20000,560000
2000,20000,560000
2000,20000,560000
2000,20000,560000
2000,20000,560000
1815,20222,566216
1223,20814,582792
631,21406,599368
0,22000,616000
0,22000,616000
0,22000,616000
2000,22000,616000
2000,22000,616000
2000,22000,616000
2000,22000,616000
2000,22000,616000
2000,22000,616000
2000,22000,616000
1334,22703,635684
964,23073,646044
0,24000,672000
2000,24000,672000
2000,24000,672000
2000,24000,672000
2000,24000,672000
2000,24000,672000
2000,24000,672000
2000,24000,672000
2000,24000,672000
2000,24000,672000
1704,24333,681324
2890,25147,704116
2890,25147,704116
2557,25480,713440
1632,26405,739340
411,27626,773528
41,27996,783888
0,28000,784000
0,28000,784000
0,28000,784000
0,28000,784000
