queue_size, nb_events_sent, nb_bytes_sent 
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
2000,0,0
2000,37,1036
2000,37,1036
1889,148,4144
1445,592,16576
779,1258,35224
631,1406,39368
0,2000,56000
0,2000,56000
0,2000,56000
2000,2000,56000
2000,2000,56000
2000,2000,56000
2000,2000,56000
2000,2000,56000
2000,2000,56000
2000,2000,56000
1186,2851,79828
927,3110,87080
927,3110,87080
2816,3221,90188
2113,3924,109872
855,5182,145096
596,5441,152348
115,5922,165816
0,6000,168000
0,6000,168000
0,6000,168000
0,6000,168000
0,6000,168000
2000,6000,168000
2000,6000,168000
2000,6000,168000
2000,6000,168000
2000,6000,168000
631,7406,207368
631,7406,207368
0,8000,224000
0,8000,224000
0,8000,224000
2000,8000,224000
2000,8000,224000
2000,8000,224000
2000,8000,224000
2000,8000,224000
2000,8000,224000
2000,8000,224000
1593,8444,236432
1445,8592,240576
1371,8666,242648
3149,8888,248864
2742,9295,260260
2631,9406,263368
2557,9480,265440
1743,10294,288232
1299,10738,300664
1262,10775,301700
744,11293,316204
0,12000,336000
0,12000,336000
2000,12000,336000
2000,12000,336000
2000,12000,336000
2000,12000,336000
2000,12000,336000
2000,12000,336000
2000,12000,336000
2000,12000,336000
1482,12555,351540
1149,12888,360864
2409,13628,381584
2298,13739,384692
818,15219,426132
4,16000,448000
0,16000,448000
0,16000,448000
0,16000,448000
0,16000,448000
0,16000,448000
0,16000,448000
2000,16000,448000
2000,16000,448000
2000,16000,448000
2000,16000,448000
1556,16481,461468
1075,16962,474936
520,17517,490476
335,17702,495656
0,18000,504000
0,18000,504000
2000,18000,504000
2000,18000,504000
2000,18000,504000
2000,18000,504000
2000,18000,504000
2000,18000,504000
2000,18000,504000
2000,18000,504000
1852,18185,509180
705,19332,541296
1299,20738,580664
1040,20997,587916
78,21959,614852
0,22000,616000
0,22000,616000
0,22000,616000
0,22000,616000
0,22000,616000
0,22000,616000
0,22000,616000
2000,22000,616000
2000,22000,616000
2000,22000,616000
927,23110,647080
779,23258,651224
0,24000,672000
0,24000,672000
0,24000,672000
0,24000,672000
0,24000,672000
2000,24000,672000
2000,24000,672000
2000,24000,672000
2000,24000,672000
2000,24000,672000
1149,24888,696864
261,25776,721728
0,26000,728000
0,26000,728000
0,26000,728000
2000,26000,728000
2000,26000,728000
2000,26000,728000
2000,26000,728000
2000,26000,728000
2000,26000,728000
2000,26000,728000
1001,27036,757008
0,28000,784000
0,28000,784000
