queue_size, nb_events_sent, nb_bytes_sent 
0,0,0
500,0,0
1000,0,0
1500,34,952
2000,34,952
2500,34,952
2524,510,14280
2412,1122,31416
2776,1258,35224
3276,1258,35224
2178,2856,79968
2678,2856,79968
3076,2958,82824
2930,3604,100912
2954,4080,114240
2808,4726,132328
3070,4964,138992
3536,4998,139944
2778,6256,175168
2802,6732,188496
3302,6732,188496
3394,7140,199920
3622,7412,207536
3884,7650,214200
4248,7786,218008
4680,7854,219912
4976,8058,225624
5000,8534,238952
5432,8602,240856
5864,8670,242760
5718,9316,260848
6184,9350,261800
6344,9690,271320
6810,9724,272272
6834,10200,285600
7164,10370,290360
6678,11356,317968
6872,11662,326536
6590,12444,348432
6342,13192,369376
6638,13396,375088
7002,13532,378896
7332,13702,383656
7084,14450,404600
7584,14450,404600
7676,14858,416024
7224,15810,442680
7554,15980,447440
7578,16456,460768
7534,17000,476000
6572,18462,516936
6800,18734,524552
6756,19278,539784
6712,19822,555016
5988,21046,589288
4958,22576,632128
4710,23324,653072
5210,23324,653072
5404,23630,661640
5054,24480,685440
