queue_size, nb_events_sent, nb_bytes_sent 
0,0,0
50,0,0
100,0,0
150,0,0
200,34,952
250,34,952
0,300,8400
50,300,8400
100,300,8400
150,300,8400
0,500,14000
50,500,14000
100,500,14000
150,500,14000
200,534,14952
0,750,21000
50,750,21000
100,750,21000
150,750,21000
0,950,26600
50,950,26600
100,950,26600
150,950,26600
200,950,26600
114,1120,31360
28,1250,35000
0,1300,36400
50,1300,36400
100,1300,36400
150,1300,36400
0,1500,42000
50,1500,42000
100,1500,42000
150,1500,42000
0,1700,47600
50,1700,47600
100,1700,47600
150,1700,47600
0,1900,53200
50,1900,53200
100,1900,53200
150,1900,53200
0,2100,58800
50,2100,58800
100,2100,58800
150,2100,58800
200,2100,58800
0,2350,65800
50,2350,65800
100,2350,65800
150,2350,65800
0,2550,71400
50,2550,71400
100,2550,71400
150,2550,71400
0,2750,77000
50,2750,77000
100,2750,77000
150,2750,77000
200,2784,77952
