queue_size, nb_events_sent, nb_bytes_sent 
0,0,0
500,0,0
1000,0,0
1500,0,0
2000,34,952
2500,34,952
1674,1360,38080
576,2958,82824
1076,2958,82824
0,4500,126000
500,4500,126000
1000,4500,126000
1500,4500,126000
0,6500,182000
500,6500,182000
1000,6500,182000
1500,6500,182000
1456,7078,198184
460,8574,240072
0,9500,266000
500,9500,266000
1000,9500,266000
1500,9500,266000
2000,9500,266000
0,12000,336000
500,12000,336000
1000,12000,336000
1500,12000,336000
1558,12476,349328
1276,13258,371224
0,15000,420000
500,15000,420000
1000,15000,420000
1500,15000,420000
2000,15000,420000
2160,15374,430472
0,18000,504000
500,18000,504000
1000,18000,504000
1500,18000,504000
2000,18000,504000
0,20500,574000
500,20500,574000
1000,20500,574000
1500,20500,574000
0,22500,630000
500,22500,630000
1000,22500,630000
1500,22500,630000
2000,22500,630000
0,25000,700000
500,25000,700000
1000,25000,700000
1500,25000,700000
1184,25850,723800
0,27500,770000
500,27500,770000
1000,27500,770000
1500,27500,770000
2000,27500,770000
