queue_size, nb_events_sent, nb_bytes_sent 
0,0,0
50,0,0
100,0,0
150,0,0
200,34,952
250,34,952
0,300,8400
50,300,8400
100,300,8400
150,300,8400
0,500,14000
50,500,14000
100,500,14000
150,500,14000
0,700,19600
50,700,19600
100,700,19600
150,700,19600
0,900,25200
50,900,25200
100,900,25200
150,900,25200
0,1100,30800
50,1100,30800
100,1100,30800
150,1100,30800
200,1100,30800
46,1338,37464
0,1400,39200
50,1400,39200
100,1400,39200
150,1400,39200
0,1600,44800
50,1600,44800
100,1600,44800
150,1600,44800
0,1800,50400
50,1800,50400
100,1800,50400
150,1800,50400
0,2000,56000
50,2000,56000
100,2000,56000
150,2000,56000
0,2200,61600
50,2200,61600
100,2200,61600
150,2200,61600
200,2200,61600
0,2450,68600
50,2450,68600
100,2450,68600
150,2450,68600
0,2650,74200
50,2650,74200
100,2650,74200
150,2650,74200
0,2850,79800
50,2850,79800
100,2850,79800
