queue_size, nb_events_sent, nb_bytes_sent 
0,0,0
5000,0,0
10000,0,0
15000,34,952
20000,34,952
24490,544,15232
28878,1156,32368
33742,1292,36176
37144,2890,80920
42144,2890,80920
47042,2992,83776
51396,3638,101864
55240,4794,134232
60002,5032,140896
63166,6868,192304
68166,6868,192304
72180,7854,219912
77044,7990,223720
81976,8058,225624
86772,8262,231336
91296,8738,244664
96228,8806,246568
100480,9554,267512
105072,9962,278936
110038,9996,279888
114562,10472,293216
118372,11662,326536
123066,11968,335104
127284,12750,357000
130924,14110,395080
135176,14858,416024
139734,15300,428400
143782,16252,455056
148612,16422,459816
153136,16898,473144
155790,19244,538832
159668,20366,570248
163444,21590,604520
166914,23120,647360
171778,23256,651168
174908,25126,703528
178446,26588,744464
182392,27642,773976
184128,30906,865368
188516,31518,882504
193142,31892,892976
197496,32538,911064
202360,32674,914872
206306,33728,944384
210762,34272,959616
215150,34884,976752
220150,34884,976752
224810,35224,986272
229402,35632,997696
233076,36958,1034824
237804,37230,1042440
242090,37944,1062432
246920,38114,1067192
251342,38692,1083376
255628,39406,1103368
