queue_size, nb_events_sent, nb_bytes_sent 
0,0,0
5000,0,0
10000,0,0
15000,34,952
20000,34,952
23674,1360,38080
27076,2958,82824
32076,2958,82824
32928,7106,198968
36432,8602,240856
39834,10200,285600
42488,12546,351288
46706,13328,373184
49564,15470,433160
44024,26010,728280
43176,31858,892024
46306,33728,944384
48994,36040,1009120
51852,38182,1069096
56580,38454,1076712
60866,39168,1096704
63554,41480,1161440
66310,43724,1224272
65734,49300,1380400
65872,54162,1516536
63460,61574,1724072
66114,63920,1789760
66286,68748,1924944
70980,69054,1933512
74960,70074,1962072
77886,72148,2020144
69728,85306,2388568
74728,85306,2388568
79626,85408,2391424
83198,86836,2431408
87858,87176,2440928
91974,88060,2465680
93914,91120,2551360
89190,100844,2823632
91300,103734,2904552
95688,104346,2921688
99906,105128,2943584
103070,106964,2994992
104058,110976,3107328
101612,118422,3315816
101716,123318,3452904
103384,126650,3546200
105562,129472,3625216
107502,132532,3710896
111686,133348,3733744
108492,141542,3963176
111894,143140,4007920
112644,147390,4126920
116216,148818,4166904
120060,149974,4199272
123904,151130,4231640
121050,158984,4451552
124656,160378,4490584
128568,161466,4521048
131528,163506,4578168
