queue_size, nb_events_sent, nb_bytes_sent 
0,0,0
50,0,0
100,0,0
150,0,0
200,34,952
250,34,952
300,34,952
0,350,9800
50,350,9800
100,350,9800
150,350,9800
98,486,13608
0,600,16800
50,600,16800
100,600,16800
150,600,16800
0,800,22400
50,800,22400
100,800,22400
150,800,22400
0,1000,28000
50,1000,28000
100,1000,28000
150,1000,28000
166,1068,29904
216,1068,29904
130,1204,33712
0,1350,37800
50,1350,37800
100,1350,37800
150,1350,37800
0,1550,43400
50,1550,43400
100,1550,43400
150,1550,43400
0,1750,49000
50,1750,49000
100,1750,49000
150,1750,49000
0,1950,54600
50,1950,54600
100,1950,54600
150,1950,54600
0,2150,60200
50,2150,60200
100,2150,60200
150,2150,60200
0,2350,65800
50,2350,65800
100,2350,65800
150,2350,65800
0,2550,71400
50,2550,71400
100,2550,71400
150,2550,71400
200,2550,71400
80,2754,77112
130,2754,77112
78,2856,79968
0,2950,82600
