queue_size, nb_events_sent, nb_bytes_sent 
0,0,0
500,0,0
1000,0,0
1500,0,0
2000,34,952
2500,34,952
2490,544,15232
2378,1156,32368
2742,1292,36176
1644,2890,80920
2144,2890,80920
2644,2890,80920
3042,2992,83776
2896,3638,101864
2240,4794,134232
2502,5032,140896
1166,6868,192304
1666,6868,192304
1180,7854,219912
1544,7990,223720
1976,8058,225624
2476,8058,225624
2772,8262,231336
2796,8738,244664
3228,8806,246568
2980,9554,267512
3072,9962,278936
3538,9996,279888
3562,10472,293216
2872,11662,326536
3066,11968,335104
2784,12750,357000
1924,14110,395080
1676,14858,416024
2176,14858,416024
2234,15300,428400
1782,16252,455056
2112,16422,459816
2136,16898,473144
290,19244,538832
0,20000,560000
500,20000,560000
1000,20000,560000
1500,20000,560000
1694,20340,569520
970,21564,603792
0,23000,644000
500,23000,644000
1000,23000,644000
1500,23000,644000
2000,23000,644000
2466,23068,645904
960,25074,702072
0,26500,742000
500,26500,742000
1000,26500,742000
1500,26500,742000
2000,26534,742952
1446,27588,772464
0,29500,826000
